1080 non-equivalent solutions found, 2187 processed
field MOD 2 rank families (13 found):
71020001 111: 7; 112: 1; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 24
63010001 111: 6; 112: 3; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 96
80010101 111: 8; 112: 0; 121: 0; 211: 1; 122: 0; 212: 1; 221: 0; 222: 1 - 48
81000101 111: 8; 112: 1; 121: 0; 211: 0; 122: 0; 212: 1; 221: 0; 222: 1 - 312
61020101 111: 6; 112: 1; 121: 0; 211: 2; 122: 0; 212: 1; 221: 0; 222: 1 - 72
70020101 111: 7; 112: 0; 121: 0; 211: 2; 122: 0; 212: 1; 221: 0; 222: 1 - 48
82000001 111: 8; 112: 2; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 96
91000001 111: 9; 112: 1; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 24
72010001 111: 7; 112: 2; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 24
71010101 111: 7; 112: 1; 121: 0; 211: 1; 122: 0; 212: 1; 221: 0; 222: 1 - 72
72000101 111: 7; 112: 2; 121: 0; 211: 0; 122: 0; 212: 1; 221: 0; 222: 1 - 96
90000101 111: 9; 112: 0; 121: 0; 211: 0; 122: 0; 212: 1; 221: 0; 222: 1 - 72
62020001 111: 6; 112: 2; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 96
