field MOD 2 rank families (13 found):
71010101 111: 7; 112: 1; 121: 0; 211: 1; 122: 0; 212: 1; 221: 0; 222: 1 - 72
70020101 111: 7; 112: 0; 121: 0; 211: 2; 122: 0; 212: 1; 221: 0; 222: 1 - 48
90000101 111: 9; 112: 0; 121: 0; 211: 0; 122: 0; 212: 1; 221: 0; 222: 1 - 72
62020001 111: 6; 112: 2; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 96
71020001 111: 7; 112: 1; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 24
82000001 111: 8; 112: 2; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 96
72010001 111: 7; 112: 2; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 24
72000101 111: 7; 112: 2; 121: 0; 211: 0; 122: 0; 212: 1; 221: 0; 222: 1 - 96
81000101 111: 8; 112: 1; 121: 0; 211: 0; 122: 0; 212: 1; 221: 0; 222: 1 - 312
61020101 111: 6; 112: 1; 121: 0; 211: 2; 122: 0; 212: 1; 221: 0; 222: 1 - 72
91000001 111: 9; 112: 1; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 24
63010001 111: 6; 112: 3; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 96
80010101 111: 8; 112: 0; 121: 0; 211: 1; 122: 0; 212: 1; 221: 0; 222: 1 - 48

field MOD 3 rank families (10 found):
53020001 111: 5; 112: 3; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 960
71020001 111: 7; 112: 1; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 2160
72010001 111: 7; 112: 2; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 2720
81010001 111: 8; 112: 1; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 2440
80020001 111: 8; 112: 0; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 240
91000001 111: 9; 112: 1; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 320
62020001 111: 6; 112: 2; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 2880
63010001 111: 6; 112: 3; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 800
90010001 111: 9; 112: 0; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 280
82000001 111: 8; 112: 2; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 160

field MOD 5 rank families (10 found):
90010001 111: 9; 112: 0; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 504
71020001 111: 7; 112: 1; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 19152
63010001 111: 6; 112: 3; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 34272
72010001 111: 7; 112: 2; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 33696
81010001 111: 8; 112: 1; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 9288
80020001 111: 8; 112: 0; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 1008
82000001 111: 8; 112: 2; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 2016
91000001 111: 9; 112: 1; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 1152
53020001 111: 5; 112: 3; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 84672
62020001 111: 6; 112: 2; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 76608

field MOD 7 rank families (10 found):
90010001 111: 9; 112: 0; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 728
